Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,12749310,12763720,12673310,12693990,12693990,122370
2018-06-21,12693990,12700790,12613520,12672810,12672810,117297
2018-06-22,12672820,12711460,12666880,12690710,12690710,91417
2018-06-24,12700010,12719580,12693290,12708880,12708880,2904
2018-06-25,12708120,12725510,12644810,12659880,12659880,121815
2018-06-26,12659880,12676290,12547880,12581580,12581580,133091
2018-06-27,12581590,12600480,12506710,12528910,12528910,155472
2018-06-28,12528910,12542380,12459180,12485190,12485190,149368
2018-06-29,12485280,12555690,12461090,12525290,12525290,143538
2018-07-01,12515210,12541780,12512780,12532990,12532990,5806
2018-07-02,12533080,12535790,12396380,12421080,12421080,132861
2018-07-03,12420880,12568220,12379490,12549790,12549790,138691
2018-07-04,12549490,12610510,12540000,12569080,12569080,100539
2018-07-05,12569090,12596990,12512790,12572910,12572910,139050
2018-07-06,12573010,12588810,12527780,12547680,12547680,120126
2018-07-08,12553480,12564780,12547280,12563680,12563680,2850
2018-07-09,12561980,12658680,12554480,12583490,12583490,109434
2018-07-10,12583320,12603090,12472990,12559080,12559080,126792
2018-07-11,12559080,12560480,12414980,12426680,12426680,146763
2018-07-12,12426680,12485280,12412580,12459080,12459080,130995
2018-07-13,12458980,12480580,12363380,12414390,12414390,127938
2018-07-15,12409690,12421280,12404980,12411080,12411080,2877
2018-07-16,12411090,12455280,12382880,12406820,12406820,104886
2018-07-17,12406690,12449390,12260180,12271490,12271490,129571
2018-07-18,12271490,12291180,12210580,12273220,12273220,118747
2018-07-19,12273290,12289980,12115090,12234380,12234380,154113
2018-07-20,12234280,12322280,12156590,12315510,12315510,156522
2018-07-22,12313710,12333510,12303290,12328520,12328520,6194
2018-07-23,12328520,12350820,12223000,12241990,12241990,138096
2018-07-24,12241890,12294790,12181010,12251290,12251290,138054
2018-07-25,12251490,12341820,12232080,12330490,12330490,141322
2018-07-26,12330580,12351310,12222890,12240680,12240680,133556
2018-07-27,12240680,12273120,12175380,12226790,12226790,116254
2018-07-29,12226220,12238390,12220010,12224490,12224490,2820
2018-07-30,12224490,12250290,12190080,12224890,12224890,94803
2018-07-31,12224780,12285190,12139380,12238880,12238880,134803
2018-08-01,12238980,12247180,12156180,12177980,12177980,122144
2018-08-02,12178080,12212680,12068290,12083680,12083680,128518
2018-08-03,12083580,12199780,12045000,12132180,12132180,124297
2018-08-05,12135320,12151390,12132990,12148480,12148480,3200
2018-08-06,12148480,12178280,12055490,12086990,12086990,103035
2018-08-07,12087090,12161090,12077590,12123790,12123790,101518
2018-08-08,12123880,12158010,12064310,12132410,12132410,106019
2018-08-09,12132420,12172390,12107490,12120880,12120880,109798
2018-08-10,12120790,12170720,12056680,12109880,12109880,152781
2018-08-12,12106720,12138180,12105710,12123510,12123510,5793
2018-08-13,12123190,12126280,11916190,11927780,11927780,162222
2018-08-14,11927780,11986790,11919980,11938680,11938680,124570
2018-08-15,11938690,11941280,11730710,11737380,11737380,156213
2018-08-16,11737380,11819920,11601680,11752980,11752980,173778
2018-08-17,11753090,11850020,11718380,11846780,11846780,135861
2018-08-19,11833290,11839180,11827780,11835580,11835580,4469
2018-08-20,11835580,11912780,11828780,11911610,11911610,108814
2018-08-21,11911420,11969590,11876380,11959910,11959910,128539
2018-08-22,11959990,12015580,11925720,11950380,11950380,124385
2018-08-23,11950380,11954390,11838590,11844980,11844980,125694
2018-08-24,11845190,12085120,11831180,12055920,12055920,126009
2018-08-26,12068680,12079090,12060690,12077190,12077190,4805
2018-08-27,12077090,12123990,12031110,12109810,12109810,105716
2018-08-28,12109880,12142390,11995990,12026380,12026380,127539
2018-08-29,12026280,12078080,12014080,12071690,12071690,121176
2018-08-30,12071680,12071980,11962580,11998580,11998580,129207
2018-08-31,11998490,12088190,11982290,12007370,12007370,129188
2018-09-02,12001380,12006080,11987210,11990880,11990880,3323
2018-09-03,11990790,12038080,11956480,12007410,12007410,79694
2018-09-04,12007280,12019690,11895690,11919890,11919890,135865
2018-09-05,11919880,11983310,11908780,11970680,11970680,120261
2018-09-06,11970790,12069410,11957780,12011090,12011090,128782
2018-09-07,12010980,12034810,11934180,11956290,11956290,138439
2018-09-09,11950180,11966080,11948110,11961190,11961190,3803
2018-09-10,11960890,11984390,11914980,11949980,11949980,111097
2018-09-11,11949980,11993680,11876980,11969880,11969880,113312
2018-09-12,11969980,12084290,11926580,12062010,12062010,129417
2018-09-13,12061580,12126090,12001480,12020980,12020980,125259
2018-09-14,12021180,12085120,11928780,11932490,11932490,120687
2018-09-16,11939710,11947220,11929980,11933480,11933480,2861
2018-09-17,11933590,12047790,11927580,11983790,11983790,115662
2018-09-18,11983880,12034920,11958380,11994990,11994990,130825
2018-09-19,11995090,12061690,11981290,12039310,12039310,118425
2018-09-20,12039310,12083720,12012690,12073590,12073590,125938
2018-09-21,12073590,12110120,11917890,11994680,11994680,129967
2018-09-23,11988190,11991680,11970220,11979380,11979380,2862
2018-09-24,11979220,12041380,11943990,11993090,11993090,100605
2018-09-25,11993080,12032690,11970780,12012080,12012080,103477
2018-09-26,12012080,12024280,11904780,11964380,11964380,118546
2018-09-27,11964180,11985090,11820000,11835390,11835390,118756
2018-09-28,11835480,11938410,11807180,11917620,11917620,131075
2018-09-30,11923090,11923390,11906520,11908680,11908680,3972
2018-10-01,11908780,11920380,11845410,11889890,11889890,122514
2018-10-02,11889890,12082110,11887390,12055280,12055280,140267
2018-10-03,12055280,12082780,11967660,11979080,11979080,142398
2018-10-04,11979080,12067020,11959680,11991080,11991080,148916
2018-10-05,11991080,12057590,11972380,12026910,12026910,128720
2018-10-07,12030380,12039780,12028780,12037480,12037480,3113
2018-10-08,12037590,12040390,11825420,11906620,11906620,126046
2018-10-09,11906610,11918380,11832580,11898480,11898480,136815
2018-10-10,11898480,11948890,11853080,11938620,11938620,136589
2018-10-11,11938980,12262820,11912290,12212380,12212380,200209
2018-10-12,12212590,12235890,12157980,12177680,12177680,147259
2018-10-14,12175290,12202290,12168080,12192190,12192190,4707
2018-10-15,12192190,12332380,12191990,12267690,12267690,136664
2018-10-16,12267680,12323610,12234010,12248980,12248980,109921
2018-10-17,12248980,12294510,12205490,12221790,12221790,113678
2018-10-18,12221790,12300910,12186380,12257990,12257990,119443
2018-10-19,12257990,12307520,12230580,12259810,12259810,104491
2018-10-21,12272420,12280720,12264720,12272780,12272780,2958
2018-10-22,12272780,12295510,12200110,12223090,12223090,94559
2018-10-23,12223190,12397120,12218680,12309090,12309090,123264
2018-10-24,12309090,12352290,12255790,12352290,12352290,112888
2018-10-25,12352080,12391710,12280790,12316910,12316910,118966
2018-10-26,12316910,12433780,12300080,12333330,12333330,142886
2018-10-28,12335470,12347930,12327230,12327230,12327230,4954
2018-10-29,12327230,12353830,12242230,12299840,12299840,123819
2018-10-30,12299840,12304940,12198500,12225030,12225030,109789
2018-10-31,12225030,12228030,12118000,12159700,12159700,97597
2018-11-01,12160000,12373280,12157900,12329080,12329080,119926
2018-11-02,12328980,12363480,12296650,12326250,12326250,123228
2018-11-04,12325980,12341180,12325180,12340250,12340250,2310
2018-11-05,12340250,12350480,12267980,12309980,12309980,85639
2018-11-06,12310080,12358680,12234180,12278180,12278180,89967
2018-11-07,12278680,12364180,12229450,12260050,12260050,128725
2018-11-08,12259850,12268880,12200280,12229980,12229980,115162
2018-11-09,12229980,12232080,12066350,12096350,12096350,101055
2018-11-11,12089250,12106850,12088950,12106650,12106650,1861
